46.97,60.26,48.48,56.41,81.25,90.91,14.71,20.59,4.36,3.64,4.55,14.10,9.09,5.13,75.61,77.58,36.36,38.46,66.67,70,1.375,1.667,31.82,34.62,47.62,55.56,23.81,525.38,1.563,1.556,1,0
64.18,55,62.69,60,85.71,83.33,28,12.5,5.06,3.45,8.96,13.33,1.49,6.67,68.92,68.02,34.33,25,78.26,86.67,1.778,1.769,46.27,46.27,64.52,42.86,38.46,47.06,1.6,1.444,2,1
46.45,80,51.61,60,75,100,16,50,5.46,3,3.87,220,7.1,6.67,72.19,66.67,32.9,33.33,72.55,80,1.459,2,38.06,60,42.37,77.78,22.22,100,1.697,0,3,0
49.23,50,50.77,51.72,75.76,86.67,21.88,10.71,4.12,4.65,3.08,12.07,7.69,6.9,72.45,58.81,32.31,299.31,57.14,58.82,1.833,1.8,29.23,48.28,47.37,53.57,44,30.77,1.571,2.286,4,1
53.72,56.67,54.55,63.33,78.79,84.21,23.64,9.09,4.33,3.56,6.61,13.33,3.31,6.67,76.71,81.06,32.23,23.33,64.1,71.43,1.640,1.2,39.67,53.33,54.17,62..5,41.18,28.57,1.6,1.2,2,0
47.06,46.05,45.10,52.63,65.22,77.50,32.14,11.11,4.47,4.43,3.92,7.89,3.92,6.58,87.5,66.61,25.49,25,69.23,57.89,1.889,1.45,49.02,46.05,52,51.43,15.38,27.27,1.727,1.714,2,0
63.33,50,66.67,54.76,85,82.61,20,10.53,5,4.82,6.67,2.38,0,2.38,67.86,74.09,43.33,33.33,84.62,71.43,2.182,1.8,36.67,28.57,54.55,66.67,33.33,18.75,2,1.462,2,1
45.9,50,42.62,50,80.77,83.33,20,16.67,4.85,6,1.64,0,4.92,0,64.79,77.78,24.59,33.33,73.33,50,2,1.5,40.98,33.33,36,75,38.10,25,2,2,1,0
53.51,48.24,51.75,49.41,83.05,83.33,21.82,13.95,4.03,4.09,2.63,7.06,7.89,8.24,82.27,73.41,35.09,32.94,75,57.14,2.033,1.688,39.47,43.53,46.67,48.65,34.48,35,1.947,1.727,2,0
52.10,35.14,51.26,43.24,83.81,75,18.97,4.76,4.45,4.47,7.56,0,7.56,5.41,66.61,76.54,27.73,29.73,66.67,72.73,1.409,1.5,41.18,35.14,46.94,30.77,45.95,7.69,1.895,1.455,3,0
